,,,,,,,,quarter hour (qhr),21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
Line Code,Line Name,Total,Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
PIC,Piccadilly,"585,010","13,349","54,861","229,978","134,786","83,556","68,481",477,788,"1,145","1,481","1,820","2,195","2,553","2,892","3,109","3,314","3,452","3,645","3,814","4,161","4,502","5,022","5,386","5,826","6,114","6,515","6,711","7,032","7,303","7,794","8,164","8,581","8,887","9,340","9,572","9,830","10,117","10,484","10,583","10,709","10,713","10,696","10,504","10,446","10,331","10,368","10,296","10,365","10,460","10,691","10,778","10,974","11,177","11,457","11,555","11,662","11,685","11,714","11,480","11,173","10,787","10,343","9,684","8,985","8,346","7,758","7,187","6,703","6,312","6,043","5,767","5,551","5,534","5,687","5,760","5,832","5,929","5,771","5,452","4,980","4,614","4,131","3,616","3,020","2,586","2,106","1,718","1,446","1,309","1,189","1,102","1,005",960,906,881,812,760,691,620,553,425,306
VIC,Victoria,"702,565","17,006","74,868","278,496","157,941","98,577","75,677",466,735,"1,153","1,635","2,227","2,906","3,608","4,275","4,681","4,849","4,939","5,112","5,239","5,502","6,019","6,639","7,237","7,753","8,218","8,680","9,122","9,358","9,668","10,173","10,567","10,798","11,167","11,514","11,764","12,016","12,258","12,577","12,806","12,854","12,735","12,663","12,363","12,120","11,910","11,925","11,874","11,949","12,011","12,304","12,464","12,671","12,822","13,238","13,391","13,586","13,647","13,807","13,595","13,384","12,902","12,434","11,690","10,923","10,055","9,388","8,694","8,039","7,453","7,040","6,610","6,282","6,157","6,245","6,370","6,580","6,708","6,720","6,465","5,988","5,336","4,707","3,926","3,169","2,552","2,110","1,696","1,498","1,357","1,279","1,153","1,090",984,944,859,811,735,702,621,572,428,316
WAC,Waterloo & City,"12,730",0,971,"5,596","3,294","1,911",957,0,0,0,0,0,0,0,0,0,0,18,36,57,81,104,114,125,135,143,157,168,183,195,213,226,240,243,254,261,268,267,285,284,282,273,267,241,230,213,203,197,199,196,208,216,223,236,257,262,279,301,318,299,319,295,287,244,247,195,195,153,157,127,135,110,122,105,122,109,122,107,118,108,105,90,81,56,33,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELL,LO East London,"177,977","2,862","16,878","69,313","39,973","27,586","21,365",39,88,153,255,381,513,648,785,877,959,"1,029","1,110","1,192","1,302","1,430","1,572","1,685","1,808","1,904","2,010","2,085","2,178","2,248","2,371","2,462","2,574","2,672","2,810","2,889","2,982","3,063","3,186","3,218","3,265","3,267","3,275","3,190","3,158","3,107","3,094","3,046","3,048","3,036","3,089","3,118","3,168","3,228","3,341","3,368","3,416","3,442","3,474","3,430","3,407","3,328","3,254","3,112","2,971","2,802","2,653","2,472","2,304","2,137","1,997","1,873","1,793","1,741","1,732","1,753","1,798","1,864","1,962","2,053","2,027","1,860","1,610","1,264",891,617,463,366,327,307,283,266,245,230,209,192,168,152,132,115,94,70,47
GOB,LO Gospel Oak-Barking,"18,811",608,"2,898","7,547","4,140","2,487","1,129",0,0,0,27,72,120,170,219,237,235,229,224,222,224,234,246,255,262,265,266,264,260,259,265,268,269,278,291,296,307,318,332,341,350,347,352,350,347,341,348,343,341,338,341,341,347,346,355,356,356,350,352,344,342,332,320,299,281,262,245,228,212,192,172,158,150,145,144,137,139,142,138,132,130,116,84,60,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLL,LO North London,"179,081","3,196","20,848","75,253","42,521","25,715","11,548",3,19,83,183,366,583,865,"1,094","1,328","1,442","1,564","1,592","1,661","1,679","1,756","1,810","1,907","1,960","2,046","2,104","2,210","2,262","2,375","2,481","2,655","2,720","2,898","3,005","3,148","3,202","3,386","3,461","3,554","3,536","3,600","3,518","3,467","3,399","3,430","3,356","3,385","3,367","3,432","3,402","3,494","3,473","3,622","3,612","3,699","3,650","3,706","3,581","3,580","3,461","3,419","3,225","3,094","2,860","2,684","2,449","2,323","2,123","1,974","1,839","1,719","1,597","1,546","1,507","1,498","1,446","1,484","1,437","1,364","1,261","1,079",822,574,354,142,79,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URL,LO Romford–Upminster,815,14,107,427,172,90,4,0,0,1,1,2,3,3,4,4,5,5,8,7,9,8,11,9,12,12,16,13,16,14,19,15,21,18,22,18,22,18,22,19,20,17,21,17,18,17,19,15,16,14,15,13,14,13,17,16,18,16,17,12,13,11,11,9,9,7,8,7,7,6,8,7,8,7,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEL,LO Watford-Euston,"25,256","1,146","3,566","9,828","5,506","3,433","1,778",31,60,103,139,169,195,213,236,254,265,270,291,284,284,298,320,324,317,323,336,340,325,345,361,372,362,382,398,411,398,414,436,454,443,452,464,468,436,433,438,439,408,415,434,452,433,449,478,501,482,483,488,481,431,414,415,399,351,332,332,307,271,261,265,243,226,221,227,221,214,205,221,214,198,172,150,96,55,22,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAG,LO West Anglia,"83,110","2,332","9,900","33,762","18,413","11,762","6,941",43,66,125,215,310,413,543,618,659,667,698,695,727,757,826,872,930,969,"1,037","1,064","1,106","1,140","1,171","1,194","1,243","1,270","1,306","1,364","1,412","1,441","1,491","1,532","1,560","1,555","1,568","1,553","1,534","1,488","1,489","1,465","1,459","1,448","1,480","1,495","1,527","1,540","1,566","1,577","1,590","1,577","1,573","1,557","1,543","1,492","1,462","1,411","1,356","1,269","1,198","1,113","1,038",960,906,849,811,775,757,731,732,722,720,712,714,693,656,576,467,353,246,153,89,58,35,13,0,0,0,0,0,0,0,0,0,0,0,0
EZL,Elizabeth Line,"106,919","5,161","13,423","40,794","24,137","14,912","8,492",105,230,382,560,762,943,"1,057","1,122","1,113","1,079","1,042","1,027","1,024","1,058","1,108","1,153","1,169","1,195","1,221","1,235","1,262","1,288","1,348","1,394","1,435","1,456","1,532","1,566","1,628","1,711","1,810","1,866","1,921","1,962","1,976","1,961","1,926","1,907","1,863","1,834","1,785","1,777","1,779","1,807","1,822","1,889","1,947","1,995","2,041","2,098","2,146","2,157","2,111","2,062","1,996","1,874","1,740","1,629","1,501","1,388","1,281","1,209","1,135","1,111","1,032",994,949,942,896,887,878,845,819,761,698,641,579,456,395,293,176,97,62,1,0,0,0,0,0,0,0,0,0,2,2,2
DLR,DLR,"300,388","8,814","34,690","125,970","66,525","39,659","24,730",168,339,588,908,"1,249","1,543","1,869","2,150","2,317","2,396","2,452","2,461","2,494","2,576","2,759","2,984","3,231","3,441","3,686","3,892","4,086","4,239","4,425","4,602","4,782","4,908","5,066","5,190","5,324","5,400","5,584","5,685","5,783","5,757","5,774","5,657","5,591","5,452","5,466","5,418","5,435","5,393","5,475","5,478","5,572","5,577","5,718","5,790","5,898","5,837","5,843","5,683","5,533","5,244","5,064","4,765","4,545","4,231","4,004","3,708","3,512","3,245","3,082","2,879","2,768","2,621","2,584","2,480","2,515","2,471","2,544","2,521","2,584","2,430","2,359","2,125","1,869","1,388","1,000",597,281,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRM,London Trams,"67,031","1,621","7,810","31,483","14,902","7,724","3,491",59,110,136,182,209,264,334,327,392,440,501,498,614,684,710,700,727,774,880,890,954,966,"1,034","1,088","1,160","1,158","1,259","1,246","1,361","1,406","1,425","1,362","1,448","1,459","1,522","1,405","1,502","1,454","1,406","1,383","1,398","1,352","1,412","1,323","1,366","1,334","1,320","1,294","1,357","1,310","1,270","1,189","1,218","1,163","1,135",946,939,840,791,754,707,641,634,544,537,470,456,411,438,372,383,317,361,304,281,244,236,197,173,49,49,10,13,0,0,0,0,0,0,0,0,0,3,8,12,41
